,asin
0,B000X7ST9Y
1,B0011FYB5I
2,B001E5PLCM
3,B01E7UKR38
4,B0009RF9DW
5,B000W0C07Y
6,B00MGK9Z8U
7,B00MTR49IG
8,B00GHJOM2U
9,B000NKJIXM
10,B000PKKAGO
11,B000URXP6E
12,B000WYJTZG
13,B006IB5T4W
14,B0014SQQ3M
15,B0006O10P4
16,B000V5Z4J6
17,B0091OCA86
18,B00155Z6V2
19,B019LAI4HU
20,B00CQ0LN80
21,B00157OBRU
22,B007V6JNE0
23,B01DKQAXC0
24,B019FWRG3C
25,B001OHV1H4
26,B000FTYALG
27,B004KEJ65C
28,B001QY8QXM
29,B00NT0AR7E
30,B00BSE3III
31,B000GLRREU
32,B00DY59MB6
33,B00126LYJM
34,B000VV1YOY
35,B0010ZBORW
36,B004CALFE4
37,B00B7V273E
38,B00W259T7G
39,B00CZH3K1C
40,B007R6UXNY
41,B00HLXEXDO
42,B00006L9LC
43,B0012Y0ZG2
44,B008YQM4A6
45,B00RZYW4RG
46,B00AKP21KM
47,B000LIBUBY
48,B002RZZXYE
49,B00JF2GVWK
50,B00B9V9ASM
51,B000YB70PS
52,B00021DJ32
53,B0000530HU
54,B00UWB35UY
55,B0012XPRO8
56,B006WYJM8Y
57,B000WR2HB6
58,B01BNEYGQU
59,B019V2KYZS
60,B002GP80EU
61,B000FI4S1E
62,B000FOI48G
63,B001F51RAG
64,B001LNODUS
65,B00EYZY6LQ
66,B0017TZD7S
67,B00QXW95Q4
68,B00120VWTK
69,B01DLR9IDI
70,B00IJHY54S
71,B00N2WQ2IW
72,B00112DRHY
73,B001E96LUO
74,B016V8YWBC
75,B00L1I1VMG
76,B0002JHI1I
77,B0013NB7DW
78,B00VARTPKS
79,B019809F9Y
80,B00EF1QRMU
81,B001ET7FZE
82,B00VG1AV5Q
83,B000X2FPXC
84,B000VUXCGI
