,asin
0,980035977X
1,9966694242
2,B00000JBK6
3,B00001W0DC
4,B00003OPEV
5,B00005853W
6,B00005Q5U5
7,B0000614V5
8,B000067RL2
9,B000068UY7
10,B00006JLOT
11,B00006OAJ4
12,B000083GPS
13,B00008IP5N
14,B00008WIX2
15,B00008ZPN3
16,B0000AKACN
17,B0000E6FY7
18,B0000UV0IQ
19,B000167KWY
20,B0001CLYAW
21,B0001XH6G2
22,B00021EE4U
23,B00021Z98A
24,B00023JK8I
25,B00028JHAE
26,B0002D6PNQ
27,B0002I724M
28,B0002LEMWE
29,B0002OI39O
30,B00042LCBA
31,B00065H0QQ
32,B0006698SI
33,B0006HQ7GS
34,B0006TIEZS
35,B0007KPS0A
36,B0007LBMMM
37,B0007YG85A
38,B00080FPSE
39,B0009EXVFI
40,B0009IQ62Y
41,B0009X0CSI
42,B0009ZBVKE
43,B000A15ZEU
44,B000A2RZ7E
45,B000CCZH3G
46,B000E36R8W
47,B000E5EF70
48,B000E5W74S
49,B000EFKK5G
50,B000ELSXVS
51,B000ETXOC8
52,B000F3XHLG
53,B000F7IXXE
54,B000F8J0TE
55,B000FCT9Y6
56,B000FLS786
57,B000G1KO7C
58,B000G6WDQW
59,B000GFHR0K
60,B000GVJV1C
61,B000H35G1S
62,B000H92BTM
63,B000HRVDJI
64,B000I4T7VG
65,B000IN022K
66,B000IZ02HS
67,B000JCQKVM
68,B000JVBU9K
69,B000JVTTOI
70,B000KK5NYS
71,B000KM5CUQ
72,B000L9M2LU
73,B000LB7G00
74,B000LBGI68
75,B000LY5OWE
76,B000LYABHW
77,B000MAJ5T0
78,B000N50RAK
79,B000N7EFRO
80,B000NE9D3I
81,B000NJBRNW
82,B000NJFMZG
83,B000OSEI06
84,B000PGHCG4
85,B000PQX2AY
86,B000PT3B9S
87,B000Q3UOZ2
88,B000S2QUMW
89,B000TAR608
90,B000TD0QR0
91,B000UC22TK
92,B000V5G4TK
93,B000V6ZTZO
94,B000VJX7DW
95,B000VNJD18
96,B000VTWROW
97,B000VUPSGU
98,B000VX4W78
99,B000WJ7QZG
100,B000WOK56I
101,B000WVCO7Y
102,B000WYYP14
103,B000X2B5U4
104,B000XU43IC
105,B000Y9YJI6
106,B000YOLUPG
107,B000YX0BEI
108,B000Z7C8Q2
109,B00104XCRS
110,B0010SJYBC
111,B0010VGC6Y
112,B0011FTKFY
113,B00123V6PW
114,B0012GDO68
115,B00134P4LW
116,B00138MVH8
117,B0013CC3M2
118,B0013URK04
119,B0014CUY7W
120,B0015453NO
121,B0015G5UVW
122,B001670JES
123,B00176ND1Y
124,B0018C7FSO
125,B0019K9S0S
126,B001AMI91E
127,B001AZEHD0
128,B001BMXSYQ
129,B001CBRYBE
130,B001CCLBSA
131,B001CT00BW
132,B001D785BU
133,B001DDER0W
134,B001DGZ06Y
135,B001FAXN26
136,B001G2RAMW
137,B001G8A8AM
138,B001HU13K8
