,asin
0,1579000509
1,B00000JD5Y
2,B00006IEE2
3,B00006IEF4
4,B00006IFH9
5,B000087LHQ
6,B00015YR5I
7,B0002SQ2IY
8,B0006HUQQA
9,B0006HVUTM
10,B00079VIFU
11,B0008G1ULY
12,B000B836RK
13,B000DT85LO
14,B000FDP9XK
15,B000I36ZO4
16,B000J09VC4
17,B000P86RMC
18,B000PKP6B8
19,B000Q62KZ6
20,B000QEBF0E
21,B000SBXIA0
22,B000VWXENW
23,B000WCUQP0
24,B000Y4X6E4
25,B000ZVYVQ8
26,B0011N0LP4
27,B00138BGJM
28,B0013CO1RW
29,B0013L9BF0
30,B0015ZQWH4
31,B0015ZVYO0
32,B0017DC4BW
33,B001B0ALZW
34,B001BR6F4Q
35,B001DO9HHE
36,B001E682C2
37,B001EH87RG
38,B001JSY9Q8
39,B001NPQ6K4
40,B001U06NPK
41,B001UIHTFA
42,B001W9W6IC
43,B0025ZG868
44,B0026TCC18
45,B002825RYM
46,B002EL9J50
47,B002MCZA0Y
48,B002TEADOS
49,B0033JAZ78
50,B0035ILT0Y
51,B0038JSJWG
52,B003LR4262
53,B003VC8WC2
54,B003ZW31YC
55,B004V3XYOG
56,B004XMNP58
57,B005CDMQC0
58,B005F6NMYU
59,B005HJ8YUC
60,B006H7HQJ8
61,B006K0Q9LS
62,B006TZGJGO
63,B007BFJZN0
64,B007P8DKZW
65,B008EGDW3O
66,B0099LA3IK
67,B009FFOH00
68,B00BCNEL22
69,B00BJ83GB2
70,B00BT353ZO
71,B00C0U72PO
72,B00C1JVOZS
73,B00CMAPI4E
74,B00CS7O5YU
75,B00CZ6DWCU
76,B00D12EAYG
77,B00DTOTBY0
78,B00ELN1PQU
79,B00ELPVA72
80,B00EN9W3UY
81,B00FGPSU6K
82,B00FQ0CZAC
83,B00G9QRSYA
84,B00GTE94M6
85,B00HNWHEZW
86,B00IF10DY4
87,B00IGOQVW8
88,B00ILXEU0Y
89,B00ISKW2UA
90,B00IXCX0OA
91,B00J5NHRR2
92,B00JVHJU0E
93,B00KB4HAM6
