,asin
0,1579823645
1,1589949358
2,B00000IUX6
3,B00000IUI1
4,B00000IZHN
5,B00009QMQR
6,B0000WS00A
7,B00012TL34
8,B0001OM1JS
9,B0002TT3KM
10,B0006OCFC6
11,B0007LQGQ4
12,B0007Y4DLG
13,B0009JJPEY
14,B0009JRPBY
15,B0009V9I6M
16,B000BPN3JY
17,B000BVDEZG
18,B000F1ST1Q
19,B000F44PGQ
20,B000F8XFBS
21,B000FAPVN6
22,B000FNTGZC
23,B000GYWYQI
24,B000GYWY90
25,B000II2J9Y
26,B000KYMAEU
27,B000MGDM4S
28,B000MND6GK
29,B000MUYXM4
30,B000MUVAH0
31,B000N5QNSK
32,B000NDO7AI
33,B000NJDH8U
34,B000OQW4GS
35,B000OV8CA0
36,B000PEX05I
37,B000PLXFQU
38,B000Q0JRBC
39,B000QF3VRI
40,B000RMRVOE
41,B000S5WLPY
42,B000SSNP1K
43,B000UY11OU
44,B000W75PTC
45,B000Y7YKPU
46,B000Y895OU
47,B000YF59MK
48,B000ZDME7Y
49,B0011WHL9O
50,B00134PLM4
51,B00134O9MC
52,B0013LJPQA
53,B0013TRB9K
54,B00141HIE0
55,B00146LV7A
56,B0015HSLG2
57,B0015K7JZ8
58,B00168H4ZO
59,B0016M16UY
60,B00171W8JM
61,B00186IW1E
62,B00192O6VC
63,B001ECKJJ0
64,B001F8KR0Y
65,B001GXM4MW
66,B001GZRLKK
67,B001LDF6S6
68,B001O2QW28
69,B001TR0742
70,B001URW7VM
71,B00207U0K6
72,B0028Z2O72
73,B002A2U8OO
74,B002EA18XW
75,B002IMMDN0
76,B002M4E5EO
77,B0030MJMPO
78,B003231I8U
79,B0033BSOJ2
80,B0038ALXZ0
81,B00392NSQ4
82,B0039L0RXM
83,B0039M2Q12
84,B003AUIZC2
85,B003H7B78M
86,B003R8BKU6
87,B003U6SOB8
88,B003U8GFCQ
89,B0046JBFIW
90,B004774X78
91,B004821PD2
92,B004ADTC48
93,B004C7LS7Q
94,B004KKX7AQ
95,B004LDFUV6
96,B004NW1H6W
97,B004RSGBSQ
98,B004U0DILY
99,B004VUSB5Q
100,B004XZNB7C
101,B00508OOM2
102,B0050E6596
103,B0050JKREA
104,B0050KAHGM
105,B0051D9DCW
106,B0051OLOR8
107,B0051SHDS8
108,B0054RVYZ4
109,B0056HY5FI
110,B005DLOJXA
111,B005DST7NU
112,B005EVY5VA
113,B005GB7G4G
114,B005GEZTZ6
115,B005PZ2W6K
116,B005QNRTPA
117,B005SAVIOY
